timestamp,cpu usage,memory usage,virtual memory usage,read bytes,written bytes
1707302423715837,0,12288,34468835328,16384,0
1707302424732541,0,12288,34468835328,16384,0
1707302425746203,0,12288,34468835328,16384,0
1707302426756753,65.57019,70750208,35378397184,2912256,12288
1707302427765121,68.27252,110137344,35422892032,3588096,69632
1707302428794996,67.26589,110276608,35422892032,3588096,69632
1707302429815000,67.53162,110346240,35422892032,3588096,69632
1707302430831349,64.10333,110870528,35422892032,3588096,69632
1707302431849302,62.10653,110891008,35422892032,3588096,69632
1707302432867354,62.331394,111177728,35425714176,3588096,69632
1707302433884186,64.83547,110534656,35416014848,3588096,69632
1707302434900873,67.69629,111996928,35437793280,3588096,69632
1707302435918164,63.850494,112377856,35442147328,3588096,69632
1707302436934884,59.616203,112390144,35442147328,3588096,69632
1707302437952799,61.553658,112865280,35442147328,3596288,73728
1707302438968956,65.221855,113061888,35442147328,3596288,77824
1707302439986948,62.8213,114909184,35443658752,3600384,81920
1707302441004340,61.017334,115187712,35443658752,3600384,86016
1707302442020347,66.81431,115503104,35443658752,3600384,90112
1707302443039397,70.20317,115851264,35443658752,3600384,94208
1707302444056254,71.63265,116240384,35443789824,3600384,98304
1707302445073606,72.73143,116539392,35443789824,3600384,102400
1707302446090299,72.842186,116903936,35443789824,3600384,106496
1707302447107485,76.086815,117342208,35443789824,3600384,110592
1707302448125326,77.624535,117690368,35443855360,3600384,114688
1707302449141563,78.661705,117952512,35443855360,3600384,118784
1707302450158734,79.10965,118382592,35443920896,3600384,122880
1707302451177327,80.25311,118759424,35443920896,3600384,126976
1707302452193184,82.38828,119148544,35443986432,3600384,131072
1707302453210679,80.68801,119504896,35443986432,3600384,135168
1707302454226566,83.2544,119877632,35443986432,3600384,139264
1707302455244883,84.59827,120311808,35444051968,3604480,143360
1707302456263163,86.197105,120762368,35452440576,3604480,147456
1707302457280104,83.76807,121061376,35452506112,3604480,151552
1707302458297413,82.23794,121638912,35452637184,3604480,155648
1707302459311049,82.52425,121970688,35452637184,3604480,159744
1707302460327098,82.42302,122314752,35452702720,3604480,163840
1707302461344811,81.261,122634240,35452702720,3604480,167936
1707302462361491,84.060684,123437056,35453816832,3604480,172032
1707302463378403,85.40759,123772928,35453816832,3604480,176128
1707302464395606,84.1916,124174336,35453816832,3604480,180224
1707302465413712,87.35801,124403712,35453882368,3604480,184320
1707302466430293,90.54101,124862464,35453882368,3604480,188416
1707302467451171,94.576225,125140992,35453947904,3604480,192512
1707302468475142,99.14316,125444096,35453947904,3604480,196608
1707302469485650,91.959595,125865984,35453947904,3604480,200704
1707302470499257,95.39642,126263296,35454013440,3604480,204800
1707302471519316,100.069115,126619648,35454013440,3604480,208896
1707302472535631,101.19923,127107072,35454291968,3604480,212992
1707302473553497,105.109764,127504384,35454291968,3604480,217088
1707302474573258,104.03198,127840256,35454291968,3604480,221184
1707302475588259,97.02175,128237568,35454357504,3604480,225280
1707302476602596,99.9913,128700416,35454357504,3604480,229376
1707302477617365,100.74069,129146880,35454357504,3604480,233472
1707302478634354,100.65477,129597440,35454488576,3604480,237568
1707302479652914,104.4977,130019328,35454619648,3604480,241664
1707302480662212,107.526634,130359296,35454701568,3604480,245760
1707302481683409,104.523895,130695168,35454701568,3604480,249856
1707302482698939,114.090454,131096576,35457388544,3604480,253952
1707302483708506,107.74036,131444736,35457388544,3604480,258048
1707302484724916,106.17729,131784704,35457388544,3604480,262144
1707302485737865,105.765465,132165632,35457454080,3604480,266240
1707302486754413,107.096405,132755456,35457658880,3604480,274432
1707302487771880,104.022934,133165056,35457658880,3604480,278528
1707302488802287,104.97898,133537792,35457658880,3604480,282624
1707302489819471,104.56337,133951488,35457986560,3604480,286720
1707302490834263,108.08984,134254592,35458379776,3604480,290816
1707302491853033,106.625755,134541312,35458445312,3604480,294912
1707302492876346,105.3901,134893568,35458445312,3604480,299008
1707302493893726,106.06257,135254016,35458445312,3604480,303104
1707302494908762,105.47378,135593984,35458510848,3604480,307200
1707302495926962,108.43124,136294400,35459559424,3604480,311296
1707302496941980,104.75848,136650752,35459559424,3604480,315392
1707302497957440,106.33209,137105408,35459624960,3604480,319488
1707302498966836,105.67674,137383936,35459624960,3604480,323584
1707302499980306,105.00673,137781248,35459821568,3604480,327680
1707302500996587,105.79029,138149888,35459821568,3604480,331776
1707302502013213,106.00453,138457088,35459821568,3604480,335872
1707302503031021,105.33562,138792960,35459887104,3604480,339968
1707302504045336,105.638695,139026432,35459887104,3604480,344064
1707302505054923,104.38435,139337728,35459952640,3604480,348160
1707302506071835,105.34394,139935744,35460108288,3604480,352256
1707302507088545,104.26729,140136448,35460108288,3604480,356352
1707302508099606,105.13229,140525568,35460198400,3604480,360448
1707302509116208,103.93001,140877824,35460198400,3604480,364544
1707302510127504,104.83001,141299712,35460288512,3604480,368640
1707302511138221,103.46973,141561856,35468677120,3604480,372736
1707302512157271,105.02296,141971456,35468677120,3604480,376832
1707302513182978,104.36651,142196736,35468677120,3604480,380928
1707302514193703,103.52814,142581760,35468677120,3604480,385024
1707302515209949,103.27771,143200256,35468742656,3604480,389120
1707302516222105,104.47834,143519744,35468742656,3604480,393216
1707302517234830,103.48058,143712256,35468742656,3604480,397312
1707302518243655,103.35493,144031744,35468808192,3604480,401408
1707302519256097,102.19096,144424960,35468808192,3604480,405504
1707302520267686,101.25367,144719872,35468873728,3604480,409600
1707302521277542,101.47208,144990208,35468873728,3604480,413696
1707302522294346,79.63592,145297408,35468873728,3604480,417792
1707302523311975,51.3344,145297408,35468873728,3604480,417792
1707302524328920,57.33064,145313792,35468873728,3604480,417792
1707302525346292,55.242226,145313792,35468873728,3604480,417792
1707302526363262,59.945324,145313792,35468873728,3604480,417792
1707302527379827,59.036636,145321984,35468873728,3604480,417792
1707302528397872,63.409954,145326080,35468873728,3604480,417792
1707302529414880,64.21847,145326080,35468873728,3604480,417792
1707302530433029,65.80458,145375232,35468873728,3604480,417792
1707302531449693,68.833755,145477632,35468898304,3604480,417792
1707302532466745,62.918633,145481728,35468898304,3604480,417792
1707302533485827,64.1248,145514496,35468898304,3604480,417792
1707302534503546,51.03216,145547264,35468898304,3604480,417792
1707302535529258,64.960526,145588224,35468898304,3604480,417792
1707302536550448,63.767387,142094336,35461791744,3604480,417792
1707302537560881,0.21573637,142106624,35461791744,3604480,417792
