timestamp,second,mobs_spawned,hits,fps
1709820699751246,1,0,0,121
1709820700734152,2,0,0,118
1709820701747808,3,0,0,119
1709820702731352,4,0,0,116
1709820703735419,5,0,0,119
1709820704735455,6,0,0,118
1709820705736718,7,0,0,119
1709820706738361,8,0,0,118
1709820707737275,9,0,0,119
1709820708745413,10,20,0,120
1709820709735049,11,20,0,114
1709820710744003,12,20,1,117
1709820711744325,13,20,1,116
1709820712746148,14,20,1,117
1709820713736930,15,20,1,114
1709820714745800,16,20,1,118
1709820715737926,17,20,1,113
1709820716730781,18,20,1,112
1709820717739256,19,20,4,111
1709820718735224,20,40,7,112
1709820719747566,21,40,7,88
1709820720737031,22,40,8,84
1709820721741087,23,40,9,89
1709820722738513,24,40,13,84
1709820723735816,25,40,13,86
1709820724742295,26,40,15,85
1709820725737925,27,40,18,85
1709820726729023,28,40,19,85
1709820727734876,29,40,22,85
1709820728732559,30,60,23,82
1709820729735994,31,60,27,61
1709820730742486,32,60,31,61
1709820731736465,33,60,31,61
1709820732740887,34,60,35,62
1709820733749653,35,60,37,63
1709820734731347,36,60,38,60
1709820735740265,37,60,39,62
1709820736730796,38,60,44,59
1709820737745136,39,60,45,60
1709820738741949,40,80,45,61
1709820739760416,41,80,46,50
1709820740744774,42,80,46,49
1709820741743768,43,80,46,48
1709820742734247,44,80,50,49
1709820743737266,45,80,51,50
1709820744746795,46,80,52,50
1709820745745959,47,80,57,50
1709820746748375,48,80,61,50
1709820747752492,49,80,65,50
1709820748765432,50,100,66,50
1709820749754897,51,100,66,41
1709820750745783,52,100,69,41
1709820751754004,53,100,71,42
1709820752752676,54,100,71,42
1709820753757969,55,100,72,42
1709820754754127,56,100,73,41
1709820755739134,57,100,77,41
1709820756740548,58,100,83,41
1709820757755801,59,100,85,42
1709820758754819,60,120,86,41
1709820759737603,61,120,87,35
1709820760746532,62,120,88,35
1709820761741334,63,120,88,35
1709820762737252,64,120,94,35
1709820763736393,65,120,98,35
1709820764756382,66,120,98,35
1709820765749612,67,120,101,35
1709820766746458,68,120,101,35
1709820767743535,69,120,104,35
1709820768774476,70,140,104,36
1709820769756506,71,140,105,29
1709820770757330,72,140,106,30
1709820771757831,73,140,109,30
1709820772755199,74,140,112,30
1709820773754599,75,140,113,30
1709820774764348,76,140,113,30
1709820775754893,77,140,114,30
1709820776757393,78,140,116,30
1709820777759620,79,140,119,30
1709820778761340,80,160,119,30
1709820779753256,81,160,119,27
1709820780745839,82,160,119,27
1709820781742776,83,160,121,27
1709820782770461,84,160,121,28
1709820783760329,85,160,123,27
1709820784756595,86,160,125,27
1709820785745263,87,160,132,26
1709820786755016,88,160,135,28
1709820787749945,89,160,139,27
1709820788739227,90,180,139,27
1709820789762514,91,180,141,25
1709820790745650,92,180,142,24
1709820791754226,93,180,145,25
1709820792743768,94,180,146,24
1709820793756707,95,180,146,25
1709820794771135,96,180,147,25
1709820795764274,97,180,149,24
1709820796739559,98,180,154,23
1709820797762852,99,180,157,25
1709820798748837,100,200,157,24
1709820799749146,101,200,159,22
1709820800759517,102,200,163,22
1709820801765836,103,200,164,22
1709820802778504,104,200,168,22
1709820803741400,105,200,169,21
1709820804752759,106,200,172,22
1709820805754810,107,200,174,22
1709820806752877,108,200,177,22
1709820807769497,109,200,182,22
1709820808779436,110,220,182,22
1709820809785565,111,220,183,20
1709820810758012,112,220,187,19
