timestamp,second,mobs_spawned,hits,fps
1709820423079226,1,0,0,121
1709820424079598,2,0,0,120
1709820425082052,3,0,0,119
1709820426082145,4,0,0,119
1709820427083423,5,0,0,119
1709820428080775,6,0,0,118
1709820429083526,7,0,0,120
1709820430084108,8,0,0,118
1709820431082668,9,0,0,120
1709820432093857,10,20,0,118
1709820433089870,11,20,0,117
1709820434089005,12,20,0,116
1709820435089484,13,20,1,117
1709820436090439,14,20,1,118
1709820437091082,15,20,1,118
1709820438092346,16,20,1,116
1709820439092126,17,20,1,117
1709820440092374,18,20,3,118
1709820441085762,19,20,4,117
1709820442098760,20,40,4,114
1709820443081608,21,40,5,81
1709820444102890,22,40,6,83
1709820445096775,23,40,7,76
1709820446099570,24,40,8,82
1709820447094355,25,40,10,80
1709820448088308,26,40,13,80
1709820449083653,27,40,14,76
1709820450096652,28,40,15,83
1709820451096598,29,40,19,81
1709820452085463,30,60,20,81
1709820453081155,31,60,23,55
1709820454095541,32,60,26,58
1709820455095103,33,60,28,58
1709820456087114,34,60,30,58
1709820457094942,35,60,34,59
1709820458093816,36,60,34,60
1709820459094839,37,60,35,59
1709820460092493,38,60,39,59
1709820461103025,39,60,42,60
1709820462097959,40,80,42,60
1709820463100956,41,80,42,48
1709820464093595,42,80,43,47
1709820465088352,43,80,43,49
1709820466110460,44,80,45,50
1709820467094998,45,80,49,49
1709820468099056,46,80,51,49
1709820469093311,47,80,55,49
1709820470080268,48,80,56,49
1709820471109629,49,80,60,52
1709820472097785,50,100,61,49
1709820473106889,51,100,61,41
1709820474094885,52,100,65,41
1709820475103383,53,100,66,42
1709820476095518,54,100,66,41
1709820477092871,55,100,66,41
1709820478099224,56,100,72,41
1709820479110605,57,100,75,42
1709820480096828,58,100,78,40
1709820481085623,59,100,79,41
1709820482092098,60,120,79,42
1709820483113888,61,120,80,36
1709820484109788,62,120,81,35
1709820485120395,63,120,81,35
1709820486111111,64,120,86,35
1709820487098943,65,120,87,33
1709820488099511,66,120,88,35
1709820489106042,67,120,90,35
1709820490102300,68,120,92,35
1709820491087142,69,120,99,34
1709820492111990,70,140,99,36
1709820493102859,71,140,100,30
1709820494104617,72,140,103,30
1709820495104318,73,140,104,30
1709820496110635,74,140,104,30
1709820497108056,75,140,105,30
1709820498107051,76,140,107,30
1709820499110524,77,140,111,30
1709820500100920,78,140,114,30
1709820501106137,79,140,114,30
1709820502115324,80,160,115,30
1709820503108786,81,160,115,27
1709820504098609,82,160,117,27
1709820505085408,83,160,118,27
1709820506114335,84,160,119,28
1709820507111897,85,160,121,27
1709820508104132,86,160,121,27
1709820509117982,87,160,125,27
1709820510122718,88,160,128,27
1709820511089016,89,160,131,26
1709820512115744,90,180,131,28
1709820513105716,91,180,131,24
1709820514095432,92,180,132,24
1709820515091276,93,180,134,24
1709820516125954,94,180,134,25
1709820517119117,95,180,135,24
1709820518105861,96,180,136,24
1709820519087892,97,180,139,24
1709820520088873,98,180,142,24
1709820521121346,99,180,145,25
1709820522092550,100,200,146,23
1709820523085469,101,200,146,21
1709820524103724,102,200,148,22
1709820525106711,103,200,149,22
1709820526114700,104,200,154,22
1709820527123940,105,200,157,22
1709820528094534,106,200,159,21
1709820529120685,107,200,160,22
1709820530145230,108,200,163,22
1709820531101515,109,200,164,21
1709820532125833,110,220,164,22
1709820533124792,111,220,169,19
