timestamp,second,mobs_spawned,hits,fps
1709820892678837,1,0,0,121
1709820893679103,2,0,0,120
1709820894679279,3,0,0,119
1709820895679897,4,0,0,114
1709820896680411,5,0,0,110
1709820897680945,6,0,0,120
1709820898681368,7,0,0,120
1709820899681789,8,0,0,120
1709820900682273,9,0,0,120
1709820901703631,10,20,0,120
1709820902691862,11,20,0,87
1709820903690599,12,20,1,87
1709820904683866,13,20,2,87
1709820905685075,14,20,2,81
1709820906696644,15,20,2,84
1709820907685373,16,20,2,85
1709820908670399,17,20,6,77
1709820909686829,18,20,7,80
1709820910674999,19,20,8,81
1709820911696828,20,40,9,80
1709820912692658,21,40,10,51
1709820913689967,22,40,11,53
1709820914683136,23,40,11,54
1709820915691972,24,40,18,58
1709820916690829,25,40,19,56
1709820917691061,26,40,23,55
1709820918681134,27,40,26,55
1709820919695956,28,40,26,58
1709820920686275,29,40,27,58
1709820921684081,30,60,27,59
1709820922676491,31,60,28,41
1709820923704924,32,60,32,42
1709820924673663,33,60,34,40
1709820925693112,34,60,37,44
1709820926681200,35,60,37,43
1709820927679874,36,60,37,44
1709820928674850,37,60,39,43
1709820929692948,38,60,43,44
1709820930674568,39,60,46,43
1709820931686870,40,80,48,44
1709820932675025,41,80,48,33
1709820933690324,42,80,49,34
1709820934682371,43,80,50,33
1709820935691749,44,80,52,34
1709820936707990,45,80,55,33
1709820937697696,46,80,58,33
1709820938711237,47,80,59,34
1709820939689273,48,80,63,32
1709820940703128,49,80,65,33
1709820941692187,50,100,67,33
1709820942686073,51,100,68,27
1709820943681046,52,100,71,27
1709820944683845,53,100,74,27
1709820945699740,54,100,74,28
1709820946705214,55,100,74,27
1709820947701597,56,100,76,27
1709820948714552,57,100,78,23
1709820949686627,58,100,82,25
1709820950701197,59,100,85,26
1709820951726160,60,120,87,27
1709820952702193,61,120,87,21
1709820953695002,62,120,87,22
1709820954696450,63,120,87,23
1709820955725516,64,120,93,23
1709820956704050,65,120,96,22
1709820957700983,66,120,98,23
1709820958702637,67,120,100,23
1709820959708683,68,120,103,23
1709820960727580,69,120,108,23
1709820961714215,70,140,109,22
1709820962691346,71,140,111,19
