timestamp,second,mobs_spawned,hits,fps
1709820985694384,1,0,0,121
1709820986695170,2,0,0,120
1709820987695567,3,0,0,120
1709820988695896,4,0,0,119
1709820989695634,5,0,0,120
1709820990696241,6,0,0,120
1709820991696770,7,0,0,120
1709820992698228,8,0,0,120
1709820993697555,9,0,0,120
1709820994705888,10,20,0,120
1709820995704401,11,20,0,94
1709820996695640,12,20,1,95
1709820997703556,13,20,5,95
1709820998685264,14,20,5,95
1709820999703228,15,20,5,98
1709821000711372,16,20,5,96
1709821001693073,17,20,8,96
1709821002693516,18,20,12,97
1709821003688479,19,20,12,91
1709821004702519,20,40,14,92
1709821005696537,21,40,14,58
1709821006707049,22,40,15,57
1709821007696850,23,40,15,60
1709821008703519,24,40,20,61
1709821009697856,25,40,21,60
1709821010698991,26,40,21,61
1709821011714226,27,40,22,62
1709821012697712,28,40,22,61
1709821013705779,29,40,26,61
1709821014712385,30,60,26,61
1709821015718682,31,60,28,44
1709821016710685,32,60,30,43
1709821017708308,33,60,34,43
1709821018709285,34,60,36,43
1709821019710347,35,60,36,43
1709821020702459,36,60,36,43
1709821021726988,37,60,40,44
1709821022707625,38,60,45,42
1709821023712062,39,60,48,44
1709821024705270,40,80,49,43
1709821025729272,41,80,49,34
1709821026690034,42,80,51,33
1709821027722535,43,80,53,34
1709821028705447,44,80,54,32
1709821029719118,45,80,56,34
1709821030713960,46,80,57,34
1709821031711893,47,80,61,34
1709821032691915,48,80,65,34
1709821033707488,49,80,69,35
1709821034714023,50,100,70,35
1709821035712451,51,100,71,28
1709821036712814,52,100,73,26
1709821037717638,53,100,75,26
1709821038714971,54,100,75,27
1709821039708715,55,100,75,26
1709821040740447,56,100,77,25
1709821041704542,57,100,83,21
1709821042720388,58,100,85,24
1709821043702866,59,100,87,27
1709821044717332,60,120,90,30
1709821045716818,61,120,90,25
1709821046731894,62,120,93,25
1709821047705091,63,120,93,24
1709821048724110,64,120,98,25
1709821049709288,65,120,101,24
1709821050714244,66,120,103,25
1709821051723012,67,120,103,25
1709821052703052,68,120,106,24
1709821053711592,69,120,113,25
1709821054724237,70,140,113,25
1709821055713675,71,140,116,21
1709821056709207,72,140,119,21
1709821057742531,73,140,122,22
1709821058735592,74,140,124,21
1709821059728785,75,140,126,21
1709821060713026,76,140,127,21
1709821061702099,77,140,128,21
1709821062739942,78,140,136,22
1709821063728735,79,140,139,21
1709821064748683,80,160,140,21
1709821065729839,81,160,141,17
