timestamp,cpu usage,memory usage,virtual memory usage,read bytes,written bytes
1709820560974309,0,201445376,35516325888,79855616,1159168
1709820561993736,0,201445376,35516325888,79855616,1159168
1709820563011352,55.479797,201445376,35516325888,79855616,1159168
1709820564028182,58.215828,201457664,35516325888,79855616,1159168
1709820565053783,64.07745,201498624,35516325888,79855616,1159168
1709820566075873,59.9273,201510912,35516325888,79855616,1159168
1709820567093099,54.0785,201539584,35516325888,79855616,1159168
1709820568116752,51.518276,201584640,35516325888,79855616,1159168
1709820569134576,50.866497,201584640,35516325888,79855616,1163264
1709820570162656,50.191196,201584640,35516325888,79855616,1167360
1709820571181071,58.6348,201584640,35516325888,79855616,1171456
1709820572197485,57.589005,201584640,35516325888,79855616,1175552
1709820573214938,59.741913,201584640,35516325888,79855616,1179648
1709820574232377,58.139618,201584640,35516325888,79855616,1183744
1709820575248693,58.06781,201584640,35516325888,79855616,1187840
1709820576265200,56.23167,201584640,35516325888,79855616,1191936
1709820577284091,57.909378,201584640,35516325888,79855616,1196032
1709820578300656,85.188416,201596928,35516325888,79855616,1200128
1709820579316419,102.84372,201596928,35516325888,79855616,1204224
1709820580335815,102.50917,201601024,35516325888,79855616,1208320
1709820581357199,104.73639,201601024,35516325888,79855616,1212416
1709820582378078,103.73163,201601024,35516325888,79855616,1216512
1709820583399081,102.41452,201617408,35516325888,79855616,1220608
1709820584419665,101.2753,201617408,35516325888,79855616,1224704
1709820585439311,103.00541,201617408,35516325888,79855616,1228800
1709820586462282,105.14345,201617408,35516325888,79855616,1232896
1709820587479020,102.70133,201617408,35516325888,79855616,1236992
1709820588496633,111.18047,201633792,35516325888,79855616,1241088
1709820589515239,114.01604,201633792,35516325888,79855616,1245184
1709820590539400,112.209526,201637888,35516325888,79855616,1249280
1709820591557316,113.976654,201637888,35516325888,79855616,1253376
1709820592580973,114.01415,201637888,35516325888,79855616,1257472
1709820593600593,113.37464,201637888,35516325888,79855616,1261568
1709820594617466,113.038925,201637888,35516325888,79855616,1265664
