timestamp,cpu usage,memory usage,virtual memory usage,read bytes,written bytes
1709287695376869,0,111931392,35418836992,61181952,69632
1709287696395958,0,111931392,35418836992,61181952,69632
1709287697414000,56.60096,111931392,35418836992,61181952,69632
1709287698440457,52.22564,111931392,35418836992,61181952,69632
1709287699460810,53.6538,111931392,35418836992,61181952,69632
1709287700478785,53.824844,111931392,35418836992,61181952,69632
1709287701495773,53.852154,111955968,35418836992,61181952,69632
1709287702513867,53.432785,111955968,35418836992,61181952,69632
1709287703530430,54.118477,111955968,35418836992,61181952,69632
1709287704548728,52.14244,111968256,35418836992,61181952,69632
1709287705582059,60.20952,112103424,35418836992,61181952,69632
1709287706599038,56.672977,112287744,35418836992,61304832,69632
1709287707616224,54.253822,112316416,35418836992,61304832,69632
1709287708633326,56.264133,112353280,35418836992,61304832,69632
1709287709650582,57.859203,112447488,35418836992,61304832,69632
1709287710668700,60.122475,112566272,35418836992,61333504,69632
1709287711684810,60.176292,112631808,35418836992,61333504,69632
1709287712701181,59.041615,112742400,35418836992,61333504,69632
1709287713719971,56.12942,114171904,35449004032,61767680,69632
1709287714736615,55.82252,114315264,35453358080,61767680,69632
1709287715752666,53.086918,114323456,35453358080,61767680,69632
1709287716771099,58.109234,114749440,35453358080,62099456,73728
1709287717787520,61.383293,115367936,35453358080,62205952,77824
1709287718808677,63.877132,115646464,35453358080,62205952,81920
1709287719824348,67.88906,116129792,35453358080,62205952,90112
1709287720856047,68.384544,116457472,35453358080,62205952,94208
1709287721873605,69.78412,116858880,35453489152,62205952,98304
1709287722891347,69.022835,117342208,35453489152,62205952,102400
1709287723908889,72.386185,117723136,35453489152,62205952,106496
1709287724925073,73.363,118190080,35453554688,62205952,110592
1709287725943465,73.21317,118677504,35453620224,62205952,114688
1709287726959259,75.167114,119013376,35453620224,62205952,118784
1709287727978230,75.90371,119427072,35453685760,62205952,122880
1709287728994695,76.47145,119861248,35453685760,62205952,126976
1709287730011863,76.55718,120209408,35453751296,62205952,131072
1709287731029209,77.49629,120569856,35453751296,62205952,135168
1709287732045230,79.245155,121004032,35453751296,62205952,139264
1709287733063699,79.144455,121421824,35453816832,62205952,143360
1709287734081332,80.74805,121823232,35453816832,62205952,147456
1709287735098704,81.544266,122163200,35453882368,62205952,151552
1709287736127093,80.87329,122703872,35454013440,62205952,155648
1709287737148886,82.902466,123121664,35454013440,62205952,159744
1709287738166242,82.01743,123473920,35454078976,62238720,163840
1709287739179188,81.589584,123830272,35454078976,62238720,167936
1709287740197499,83.15945,124362752,35454668800,62238720,172032
1709287741213435,82.42329,124956672,35455193088,62238720,176128
1709287742231292,83.817055,125288448,35455193088,62238720,180224
1709287743250988,91.85867,125624320,35455258624,62238720,184320
1709287744267173,86.310295,125984768,35455258624,62238720,188416
1709287745282822,86.18623,126246912,35455324160,62238720,192512
1709287746300222,86.41948,126693376,35455324160,62238720,196608
1709287747319564,95.01861,127074304,35455324160,62238720,200704
1709287748337282,97.54841,127463424,35455389696,62238720,204800
1709287749354943,99.115234,127934464,35455389696,62238720,208896
1709287750374292,99.90134,128540672,35455668224,62238720,212992
1709287751390241,100.78434,128872448,35455668224,62238720,217088
1709287752410305,102.618164,129249280,35464056832,62238720,221184
1709287753430195,100.680855,129744896,35464122368,62238720,225280
1709287754446770,102.6006,130043904,35464122368,62238720,229376
1709287755464743,105.60094,130392064,35464122368,62238720,233472
1709287756483553,106.81571,130961408,35464253440,62238720,237568
1709287757501794,103.790726,131469312,35464384512,62238720,241664
1709287758518220,109.07004,131878912,35465515008,62238720,245760
1709287759534100,110.96479,132186112,35465515008,62238720,249856
1709287760551771,100.84744,132571136,35468201984,62238720,253952
1709287761567848,112.08965,132923392,35468201984,62238720,258048
1709287762586513,99.77841,133238784,35468201984,62238720,262144
1709287763605938,100.52563,133599232,35468267520,62238720,266240
1709287764618494,102.653366,134082560,35468406784,62238720,270336
1709287765642106,103.56994,134385664,35468472320,62238720,274432
1709287766659011,105.22299,134811648,35468472320,62238720,278528
1709287767671480,109.2336,135147520,35468472320,62238720,282624
1709287768680825,108.37096,135536640,35469193216,62238720,286720
1709287769700104,110.023026,135802880,35469193216,62238720,290816
1709287770720387,106.77168,136110080,35469258752,62238720,294912
1709287771733006,109.73429,136491008,35469258752,62238720,299008
